"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","IMMIGINFLOW","TOT","NBR","A","2008",205938.935,
"AUS","IMMIGINFLOW","TOT","NBR","A","2009",220981,
"AUS","IMMIGINFLOW","TOT","NBR","A","2010",208489,
"AUS","IMMIGINFLOW","TOT","NBR","A","2011",219478,
"AUS","IMMIGINFLOW","TOT","NBR","A","2012",245080,
"AUS","IMMIGINFLOW","TOT","NBR","A","2013",254411,
"AUS","IMMIGINFLOW","TOT","NBR","A","2014",231042,
"AUS","IMMIGINFLOW","TOT","NBR","A","2015",226218,
"AUS","IMMIGINFLOW","TOT","NBR","A","2016",226986,
"AUS","IMMIGINFLOW","TOT","NBR","A","2017",218128,
"AUS","IMMIGINFLOW","TOT","NBR","A","2018",191448,
"AUS","IMMIGINFLOW","TOT","NBR","A","2019",192991.051,
"CAN","IMMIGINFLOW","TOT","NBR","A","2008",248130,
"CAN","IMMIGINFLOW","TOT","NBR","A","2009",253101,
"CAN","IMMIGINFLOW","TOT","NBR","A","2010",281262,
"CAN","IMMIGINFLOW","TOT","NBR","A","2011",249292,
"CAN","IMMIGINFLOW","TOT","NBR","A","2012",258347,
"CAN","IMMIGINFLOW","TOT","NBR","A","2013",262773,
"CAN","IMMIGINFLOW","TOT","NBR","A","2014",261377,
"CAN","IMMIGINFLOW","TOT","NBR","A","2015",275852,
"CAN","IMMIGINFLOW","TOT","NBR","A","2016",296740,
"CAN","IMMIGINFLOW","TOT","NBR","A","2017",286447,
"CAN","IMMIGINFLOW","TOT","NBR","A","2018",321042,
"CAN","IMMIGINFLOW","TOT","NBR","A","2019",341173,
"FRA","IMMIGINFLOW","TOT","NBR","A","2008",213105.229,
"FRA","IMMIGINFLOW","TOT","NBR","A","2009",209623.75,
"FRA","IMMIGINFLOW","TOT","NBR","A","2010",220429.573,
"FRA","IMMIGINFLOW","TOT","NBR","A","2011",226555.178,
"FRA","IMMIGINFLOW","TOT","NBR","A","2012",244548.256,
"FRA","IMMIGINFLOW","TOT","NBR","A","2013",254447.536,
"FRA","IMMIGINFLOW","TOT","NBR","A","2014",250741.768,
"FRA","IMMIGINFLOW","TOT","NBR","A","2015",255381,
"FRA","IMMIGINFLOW","TOT","NBR","A","2016",258767,
"FRA","IMMIGINFLOW","TOT","NBR","A","2017",259919,
"FRA","IMMIGINFLOW","TOT","NBR","A","2018",280876,
"FRA","IMMIGINFLOW","TOT","NBR","A","2019",290578,
"DEU","IMMIGINFLOW","TOT","NBR","A","2008",228329,
"DEU","IMMIGINFLOW","TOT","NBR","A","2009",201452.108,
"DEU","IMMIGINFLOW","TOT","NBR","A","2010",222466.509,
"DEU","IMMIGINFLOW","TOT","NBR","A","2011",290791.023,
"DEU","IMMIGINFLOW","TOT","NBR","A","2012",400197,
"DEU","IMMIGINFLOW","TOT","NBR","A","2013",468822.938,
"DEU","IMMIGINFLOW","TOT","NBR","A","2014",574788.091,
"DEU","IMMIGINFLOW","TOT","NBR","A","2015",686451.066,
"DEU","IMMIGINFLOW","TOT","NBR","A","2016",1054034.639,
"DEU","IMMIGINFLOW","TOT","NBR","A","2017",860955.036,
"DEU","IMMIGINFLOW","TOT","NBR","A","2018",633515.843,
"DEU","IMMIGINFLOW","TOT","NBR","A","2019",608931.821,
"ITA","IMMIGINFLOW","TOT","NBR","A","2008",440234,
"ITA","IMMIGINFLOW","TOT","NBR","A","2009",354740,
"ITA","IMMIGINFLOW","TOT","NBR","A","2010",445311,
"ITA","IMMIGINFLOW","TOT","NBR","A","2011",375287,
"ITA","IMMIGINFLOW","TOT","NBR","A","2012",308097,
"ITA","IMMIGINFLOW","TOT","NBR","A","2013",278686,
